ano;mes;processo_numero;colocacao_lona_situacao;colocacao_lona_data;colocacao_lona_justificativa;colocacao_lona_metragem;colocacao_lona_qtd_pontos
 2013;02-fevereiro;8002108013;Sim;25/02/2013;2-15X08; 240; 1
 0;Não informado;8003832612;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 0;Não informado;8005348412;Não;;Lona no local.; 0; 0
 0;Não informado;8003833212;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 2013;03-marco;8002630913;Sim;05/03/2013;1-15X08; 120; 1
 2012;07-julho;8004032312;Sim;09/07/2012;lona colocada; 120; 1
 2012;06-junho;8004331012;Sim;21/06/2012;Colocação de lonas em barreiras adjacentes aos números 142, 51, 56, 23, 52, 23 E,14, 36,96 da mesma rua.; 1080; 9
 2013;02-fevereiro;8003834912;Sim;22/02/2013;LONA COLOCADA; 160; 1
 2013;04-abril;8003909912;Sim;03/04/2013;LONA COLOCADA; 160; 1
 2012;08-agosto;8004034612;Sim;07/08/2012;; 480; 1
 2012;06-junho;8004381812;Sim;24/06/2012;; 160; 1
 2012;06-junho;8003854012;Sim;21/06/2012;; 200; 1
 2012;06-junho;8003844412;Sim;19/06/2012;; 520; 1
 0;Não informado;8003723212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003756812;Sim;13/07/2012;lona colocada; 400; 1
 2012;07-julho;8003722612;Sim;23/07/2012;lona colocada; 240; 1
 0;Não informado;8003805912;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003839012;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003810212;Sim;19/07/2012;; 240; 1
 0;Não informado;8003814812;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;08-agosto;8003900112;Sim;17/08/2012;; 440; 1
 0;Não informado;8005623512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003783512;Sim;03/07/2012;; 120; 1
 2012;07-julho;8003785812;Sim;09/07/2012;lona colocada; 120; 1
 2012;06-junho;8003787012;Sim;21/06/2012;; 240; 1
 0;Não informado;8003788712;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8003784112;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003789312;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003790112;Sim;09/07/2012;; 480; 1
 0;Não informado;8003793012;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA DEMANDA DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8005794412;Não;;De acardo com a equipe operacional, a lona que está no local ainda encontra-se em boas condições. Foi colocada de acordo com o protocolo 8005794412.; 0; 0
 2013;02-fevereiro;8002018113;Sim;27/02/2013;LONA COLOCADA.; 160; 1
 2012;07-julho;8003798212;Sim;13/07/2012;; 240; 1
 2012;07-julho;8004445612;Sim;09/07/2012;; 160; 1
 0;Não informado;8003802012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003809412;Não;;ENDEREÇO NÃO LOCALIZADO.; 0; 0
 2012;06-junho;8004366912;Sim;24/06/2012;; 160; 1
 0;Não informado;8003908212;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8004007912;Não;;PORQUE A LONA COLOCADA ESTÁ EM BOM ESTADO.; 0; 0
 0;Não informado;8004008512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003672912;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;06-junho;8004400212;Sim;26/06/2012;lona colocada; 120; 1
 0;Não informado;8005054012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8004383012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8004005612;Não;;NÃO FOI COLOCADA LONA PLÁSTICA, PORQUE É COMPETÊNCIA DA REGIONAL SUL.; 0; 0
 0;Não informado;8003687612;Não;;Lona no local.; 0; 0
 0;Não informado;8004010012;Não;;Lona no local.; 0; 0
 2013;04-abril;8004013912;Sim;09/04/2013;LONA COLOCADA; 160; 1
 0;Não informado;8004014512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8004016812;Não;;lona no local.; 0; 0
 0;Não informado;8004017412;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8003936612;Não;;Atendido pelo protocolo 80.03965.6.12; 0; 0
 2012;06-junho;8003939512;Sim;26/06/2012;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 240; 1
 2012;06-junho;8003940312;Sim;15/06/2012;; 240; 1
 2012;06-junho;8003941012;Sim;15/06/2012;; 160; 1
 0;Não informado;8004020512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003942612;Sim;02/07/2012;; 120; 1
 2013;04-abril;8003947812;Sim;09/04/2013;LONA COLOCADA; 160; 1
 0;Não informado;8003948412;Não;;PORQUE A LONA COLOCADA ESTÁ EM BOM ESTADO.; 0; 0
 2012;06-junho;8004022812;Sim;21/06/2012;; 240; 1
 2013;03-marco;8002962113;Sim;11/03/2013;2-15x08; 240; 1
 0;Não informado;8004384712;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003960412;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8004024012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8005055712;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;08-agosto;8003962712;Sim;11/08/2012;; 160; 1
 2012;08-agosto;8003813112;Sim;03/08/2012;lona colocada; 240; 1
 2012;06-junho;8003622112;Sim;20/06/2012;; 360; 2
 0;Não informado;8004026312;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003670612;Sim;02/07/2012;; 240; 1
 2012;06-junho;8003822012;Sim;19/06/2012;; 360; 1
 0;Não informado;8003648012;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 0;Não informado;8004234512;Não;;DUPLICIDADE DE PROCESSO. 1º : 8001147412.; 0; 0
 2012;06-junho;8003973912;Sim;20/06/2012;; 240; 1
 2012;07-julho;8004028612;Sim;17/07/2012;; 240; 1
 2012;06-junho;8003974512;Sim;25/06/2012;lona colocada; 240; 1
 0;Não informado;8003966212;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 2012;06-junho;8003965612;Sim;28/06/2012;; 360; 1
 2012;07-julho;8003979712;Sim;19/07/2012;; 320; 1
 2012;06-junho;8003955012;Sim;27/06/2012;; 320; 1
 2012;06-junho;8003981112;Sim;21/06/2012;lona colocada; 200; 1
 0;Não informado;8003928312;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 0;Não informado;8003997512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003683012;Não;;Lona no local.; 0; 0
 2012;07-julho;8003685312;Sim;24/07/2012;lona colocada; 240; 1
 2012;07-julho;8003625012;Sim;02/07/2012;; 360; 1
 0;Não informado;8003821412;Não;;ENDEREÇO NÃO ENCONTRADO, APESAR DAS TENTATIVAS DE BUSCA DA RESIDÊNCIA, NEM OS AGENTES DE SAÚDE SOUBERAM INFORMAR.; 0; 0
 2012;08-agosto;8003690712;Sim;06/08/2012;LP COLOCADA; 200; 1
 2012;06-junho;8003691312;Sim;14/06/2012;; 680; 1
 2012;07-julho;8003693612;Sim;13/07/2012;; 400; 1
 0;Não informado;8003825012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003826612;Não;;Lona no local.; 0; 0
 2012;07-julho;8003695912;Sim;06/07/2012;; 120; 1
 0;Não informado;8003694212;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;06-junho;8003692012;Sim;21/06/2012;; 120; 1
 0;Não informado;8003696512;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8003697112;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA DEMANDA DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 2012;06-junho;8003811912;Sim;21/06/2012;; 560; 1
 2014;01-janeiro;8000001214;Sim;07/01/2014;; 80; 1
 0;Não informado;8005543112;Não;;Lona no local.; 0; 0
 0;Não informado;8003703112;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2013;04-abril;8003715012;Sim;06/04/2013;LONA COLOCADA; 160; 1
 0;Não informado;8003717212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8004597012;Sim;03/07/2012;; 240; 1
 0;Não informado;8003716612;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8004431512;Sim;10/07/2012;lona colocada; 360; 1
 2012;06-junho;8003719512;Sim;19/06/2012;lona colocada; 80; 1
 2012;06-junho;8003710812;Sim;21/06/2012;; 960; 1
 2012;06-junho;8003711412;Sim;18/06/2012;; 240; 1
 2012;06-junho;8003707712;Sim;28/06/2012;; 320; 1
 2013;03-marco;8003712012;Sim;06/03/2013;LONA COLOCADA; 160; 1
 0;Não informado;8003713712;Não;;Solicitado em duplicidade com o prot 80.02091.2.12; 0; 0
 0;Não informado;8003720312;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;06-junho;8003724912;Sim;14/06/2012;lona colocada; 120; 1
 2012;08-agosto;8003732112;Sim;13/08/2012;lona colocada; 120; 1
 2012;07-julho;8003733812;Sim;24/07/2012;; 360; 1
 2012;08-agosto;8003734412;Sim;14/08/2012;; 680; 3
 2012;08-agosto;8003727812;Sim;07/08/2012;; 240; 1
 2012;06-junho;8003729012;Sim;21/06/2012;lona colocada; 360; 1
 2012;06-junho;8003730912;Sim;21/06/2012;Atendido pelo numero 90.; 120; 2
 2012;08-agosto;8003728412;Sim;13/08/2012;lona colocada; 120; 1
 2012;06-junho;8003731512;Sim;20/06/2012;; 320; 1
 0;Não informado;8003735012;Não;;Atendido pela regional Noroeste; 0; 0
 2013;04-abril;8003739612;Sim;12/04/2013;LONA COLOCADA.; 80; 1
 0;Não informado;8003737312;Não;;Atendido pelo protocolo 80.04182.5.12; 0; 0
 0;Não informado;8003745612;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8005177512;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8003743312;Não;;NÃO FOI ENCONTRADO.; 0; 0
 0;Não informado;8003750012;Não;;Solicitação já atendida anteriormente. Lona no local.; 0; 0
 2012;07-julho;8003751612;Sim;18/07/2012;; 120; 2
 2012;06-junho;8003747912;Sim;18/06/2012;; 480; 1
 2012;06-junho;8003755112;Sim;19/06/2012;; 120; 1
 2012;06-junho;8003741012;Sim;25/06/2012;; 320; 1
 2012;07-julho;8003746212;Sim;05/07/2012;; 160; 1
 0;Não informado;8003758012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003749112;Sim;02/07/2012;; 160; 1
 2012;07-julho;8003763412;Sim;18/07/2012;; 240; 1
 2012;06-junho;8003752212;Sim;19/06/2012;; 240; 1
 0;Não informado;8003768612;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003753912;Sim;09/07/2012;lona colocada; 120; 1
 0;Não informado;8003769212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003759712;Não;;DUPLICIDADE, 1ª SOLICITAÇÃO - PROCESSO Nº 80.03603.7.12; 0; 0
 0;Não informado;8003760512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003762812;Sim;17/07/2012;; 480; 1
 0;Não informado;8004612012;Não;;Solicitação atendida através do Processo n.º 8001319012.; 0; 0
 0;Não informado;8003772312;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 2013;02-fevereiro;8003773012;Sim;26/02/2013;LONA COLOCADA; 160; 1
 0;Não informado;8003764012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8004175912;Sim;10/07/2012;; 120; 1
 2012;06-junho;8003767012;Sim;19/06/2012;; 160; 1
 2013;01-janeiro;8003775212;Sim;04/01/2013;10 PIQUETES; 320; 1
 0;Não informado;8004164712;Não;;MULTIPLICIDADE DE PROCESSOS. 1º PROC.: 8002821012; 0; 0
 2012;07-julho;8003781212;Sim;09/07/2012;lona colocada; 80; 1
 0;Não informado;8003634012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003632712;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8003566412;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 0;Não informado;8003920212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;06-junho;8004333312;Sim;21/06/2012;; 120; 1
 0;Não informado;8003859112;Não;;Lona no local.; 0; 0
 0;Não informado;8003638512;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003640012;Sim;10/07/2012;; 360; 1
 2013;04-abril;8005879012;Sim;09/04/2013;LONA COLOCADA.; 160; 1
 0;Não informado;8003643912;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 2012;06-junho;8003863912;Sim;28/06/2012;lona colocada; 240; 1
 0;Não informado;8004180212;Não;;MORADOR INFORMOU POR TELEFONE QUE NECESSITAVA DA LONA PARA COBRIR TELHADO E  NÃO PARA COBRIR O TALUDE.; 0; 0
 2012;08-agosto;8003644512;Sim;15/08/2012;; 360; 1
 2012;06-junho;8003864512;Sim;26/06/2012;lona colocada; 160; 1
 0;Não informado;8003645112;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE SOLICITAÇÕES E PELO FIM DO INVERNO; 0; 0
 2012;07-julho;8003673512;Sim;11/07/2012;; 120; 1
 0;Não informado;8003649712;Não;;DUPLICIDADE DE PROCESSOS.: 1º PROCESSO.: 8003637912; 0; 0
 2013;04-abril;8003647412;Sim;03/04/2013;LONA COLOCADA.; 160; 1
 2013;03-marco;8003651112;Sim;07/03/2013;LONA COLOCADA; 80; 1
 2012;06-junho;8004182512;Sim;19/06/2012;; 360; 1
 2012;06-junho;8003865112;Sim;21/06/2012;lona colocada; 240; 1
 2012;06-junho;8003653412;Sim;21/06/2012;; 240; 1
 0;Não informado;8003654012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003655712;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E O FIM DO INVERNO.; 0; 0
 2013;04-abril;8003688212;Sim;11/04/2013;LONA COLOCADA; 120; 1
 2012;06-junho;8003656312;Sim;28/06/2012;lona colocada; 240; 1
 2012;06-junho;8003585912;Sim;19/06/2012;NO RECIBO DE LONA CONSTA LOCALIDADE COMO CGO DO EUCALIPTO.; 120; 1
 2012;06-junho;8003568712;Sim;15/06/2012;Colocação em (14/06/12).; 600; 1
 0;Não informado;8003657012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003569312;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;07-julho;8003871112;Sim;02/07/2012;; 120; 1
 0;Não informado;8003579912;Não;;Solicitação já atendida. Entrada dupla no sistema.; 0; 0
 2013;03-marco;8003662312;Sim;23/03/2013;LONA COLOCADA; 160; 1
 2012;07-julho;8003658612;Sim;03/07/2012;; 480; 1
 2012;07-julho;8003874012;Sim;03/07/2012;; 240; 1
 2012;07-julho;8004237412;Sim;05/07/2012;lona colocada; 120; 1
 2012;07-julho;8003663012;Sim;03/07/2012;; 480; 1
 0;Não informado;8003661712;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003875712;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003665212;Não;;Solicitação em duplicidade com o prot. 80.03037.1.12; 0; 0
 2012;07-julho;8005037912;Sim;20/07/2012;; 360; 1
 0;Não informado;8003930812;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8004405412;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003667512;Não;;Lona no local.; 0; 0
 2012;07-julho;8005637612;Sim;31/07/2012;lona colocada; 120; 1
 2012;06-junho;8003668112;Sim;19/06/2012;; 520; 1
 0;Não informado;8004187712;Não;;MULTIPLICIDADE DE PROCESSOS. 1º PROCESSO: 8002821012; 0; 0
 2012;08-agosto;8003591912;Sim;01/08/2012;lona colocada; 120; 1
 2012;06-junho;8003881712;Sim;15/06/2012;Colocação em (14/06/12).; 160; 1
 2012;06-junho;8003882312;Sim;15/06/2012;Colocação em (14/06/12).; 160; 1
 0;Não informado;8003880012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8001512213;Não;;Solicitação atendida através do Processo n.º 8001522813.; 0; 0
 0;Não informado;8003677012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2013;04-abril;8003679312;Sim;06/04/2013;LONA COLOCADA; 160; 1
 2012;06-junho;8003884612;Sim;15/06/2012;Colocação em (14/06/12).; 120; 1
 2012;06-junho;8003885212;Sim;15/06/2012;Colocação em (14/06/12).; 120; 1
 2012;06-junho;8003680112;Sim;19/06/2012;; 320; 1
 2012;06-junho;8003887512;Sim;15/06/2012;Colocação em (14/06/12).; 160; 1
 0;Não informado;8003682412;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003812512;Sim;07/07/2012;; 480; 1
 2012;07-julho;8003620912;Sim;13/07/2012;; 720; 1
 2012;06-junho;8003888112;Sim;15/06/2012;Colocação em (14/06/12).; 240; 1
 2012;06-junho;8003590212;Sim;20/06/2012;; 240; 1
 2012;06-junho;8003889812;Sim;22/06/2012;; 120; 1
 2013;03-marco;8003623812;Sim;13/03/2013;LONA COLOCADA; 160; 1
 0;Não informado;8003592512;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;06-junho;8004188312;Sim;22/06/2012;lona colocada; 560; 1
 2012;06-junho;8003913612;Sim;26/06/2012;; 120; 1
 0;Não informado;8003593112;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;06-junho;8003594812;Sim;14/06/2012;lona colocada; 120; 1
 0;Não informado;8004189012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003595412;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003628012;Não;;O MORADOR NÃO QUER COLOCAÇÃO DE LONA, POIS VÃO CONSTRUIR O MURO. E TEVE ROÇAGEM DE GRANDE PORTE.; 0; 0
 2013;03-marco;8003597712;Sim;19/03/2013;LONA COLOCADA; 80; 1
 2013;04-abril;8003596012;Sim;08/04/2013;LONA COLOCADA; 160; 1
 0;Não informado;8003914212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2013;04-abril;8002042013;Sim;26/04/2013;; 120; 1
 0;Não informado;8003831012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003915912;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003599012;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;06-junho;8003600812;Sim;15/06/2012;; 240; 1
 2013;02-fevereiro;8002045913;Sim;22/02/2013;1-10X081-15X08; 200; 1
 0;Não informado;8003601412;Não;;ATENDIDO PELO PROTOCOLO 80.03601.4.12; 0; 0
 0;Não informado;8005038512;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE QUANTIDADE DE PEDIDOS E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003835512;Sim;12/07/2012;lona colocada; 240; 1
 2013;02-fevereiro;8003494312;Sim;20/02/2013;LONA COLOCADA; 120; 1
 2012;06-junho;8003149412;Sim;21/06/2012;lona colocada; 240; 1
 2013;02-fevereiro;8007012312;Sim;23/02/2013;; 160; 1
 2012;06-junho;8003266012;Sim;14/06/2012;Colocação em (13/06/12).; 400; 1
 0;Não informado;8003417912;Não;;LONA COLOCADA DIA 27.06.12 PELO PROCESSO Nº 80.04494.7.12 (520M²); 0; 0
 2012;06-junho;8003531612;Sim;25/06/2012;; 240; 1
 2012;06-junho;8003245312;Sim;14/06/2012;Colocação em (13/06/12).; 120; 1
 0;Não informado;8003381412;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA DEMANDA DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 2012;06-junho;8003239312;Sim;26/06/2012;; 320; 1
 2012;07-julho;8003544012;Sim;18/07/2012;lona colocada; 200; 2
 2013;04-abril;8003548612;Sim;15/04/2013;LONA COLOCADA.; 160; 1
 2012;07-julho;8003265412;Sim;13/07/2012;; 400; 1
 2013;03-marco;8003379012;Sim;12/03/2013;LONA COLOCADA; 160; 1
 2012;06-junho;8003390312;Sim;27/06/2012;lona colocada; 120; 1
 2012;06-junho;8003391012;Sim;18/06/2012;lona colocada; 240; 1
 2013;04-abril;8003433412;Sim;09/04/2013;LONA COLOCADA; 200; 1
 0;Não informado;8003435712;Não;;DUPLICIDADE COM PROC. 8002821012.; 0; 0
 2012;07-julho;8003837812;Sim;05/07/2012;lona colocada; 120; 1
 2013;04-abril;8003516712;Sim;09/04/2013;LONA COLOCADA; 200; 1
 0;Não informado;8003961012;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA DEMANDA DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 2012;07-julho;8003836112;Sim;17/07/2012;; 480; 1
 0;Não informado;8003603712;Não;;ENCARREGADO AFIRMA QUE JÁ VISITOU IMÓVEL POR MAIS DE 3 VEZES E ENCONTRA-O SEMPRE FECHADO.; 0; 0
 0;Não informado;8003604312;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 0;Não informado;8003532212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
 2012;06-junho;8003607212;Sim;18/06/2012;; 360; 1
 0;Não informado;8003608912;Não;;SOLICITAÇÃO NÃO ATENDIDA PELA GRANDE DEMANDA DE SOLICITAÇÕES E PELO FIM DO INVERNO.; 0; 0
 2013;04-abril;8003842112;Sim;09/04/2013;LONA COLOCADA; 80; 1
 0;Não informado;8003845012;Não;;in loco foi verificado que necessita de corte de árvore. numero do imovel é 19, não 29.; 0; 0
 2012;07-julho;8003612612;Sim;13/07/2012;; 360; 1
 2012;06-junho;8003610312;Sim;14/06/2012;lona colocada; 120; 1
 2012;07-julho;8003611012;Sim;05/07/2012;lona colocada; 120; 1
 2013;04-abril;8004190812;Sim;10/04/2013;LONA COLOCADA; 160; 1
 0;Não informado;8003613212;Não;;Devido a chegada do período de estiagem, estão supensas as colocações de lonas nas áreas de risco, até alguma mudança da pluvimetria.; 0; 0
