currentTime,totalCpuUsage...,totalMemory,availableMemory,usedMemory,percentageMemory...,totalSwap,freeSwap,usedSwap,percentageSwap...,totalPartition,usedPartition,freePartition,percentagePartition...,total_IO_read,total_IO_write
2020-01-28 19:05:24.696535,0,3.62GB,3.16GB,247.09MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,6.74MB
2020-01-28 19:06:24.960884,0,3.62GB,3.16GB,247.34MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,7.05MB
2020-01-28 19:07:25.178265,0,3.62GB,3.16GB,247.29MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,7.25MB
2020-01-28 19:08:25.422138,0,3.62GB,3.16GB,247.02MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,7.47MB
2020-01-28 19:09:25.684460,0,3.62GB,3.17GB,245.26MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,7.71MB
2020-01-28 19:10:25.946943,0,3.62GB,3.16GB,247.49MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,7.96MB
2020-01-28 19:11:26.178316,0,3.62GB,3.16GB,246.63MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,8.41MB
2020-01-28 19:12:26.438152,0,3.62GB,3.17GB,245.10MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,9.22MB
2020-01-28 19:13:26.658133,0,3.62GB,3.17GB,245.03MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,9.50MB
2020-01-28 19:14:26.920469,0,3.62GB,3.17GB,246.17MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,9.75MB
2020-01-28 19:15:27.178257,0,3.62GB,3.17GB,246.08MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,10.23MB
2020-01-28 19:16:27.440579,0,3.62GB,3.16GB,246.46MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,291.32MB,10.59MB
2020-01-28 19:17:27.674162,0,3.62GB,3.16GB,246.71MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,292.11MB,10.94MB
2020-01-28 19:18:27.906157,0,3.62GB,3.16GB,246.56MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,292.11MB,11.21MB
2020-01-28 19:19:28.162137,0,3.62GB,3.16GB,247.50MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,292.11MB,11.41MB
2020-01-28 19:20:28.424572,0,3.62GB,3.17GB,245.38MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,292.17MB,11.66MB
2020-01-28 19:21:28.642128,0,3.62GB,3.17GB,245.68MB,12.5,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,292.17MB,11.91MB
2020-01-28 19:22:28.904530,0,3.62GB,3.16GB,249.23MB,12.6,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,292.17MB,12.16MB
2020-01-28 19:23:29.114147,0,3.62GB,3.16GB,249.27MB,12.6,0.00B,0.00B,0.00B,0,9.78GB,5.33GB,3.94GB,57.5,292.17MB,12.40MB
